beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.024244620170823284,0.1193776641714437,0.009979777594867744,2,12,265,-3.467771499704844e-05,379,-2.9538087731727802e-08
0.024244620170823284,0.14251026703029984,0.009206649795764011,2,14,245,-3.347010764085238e-05,361,-3.053841938033976e-08
0.024244620170823284,0.17012542798525893,0.008435181916546911,2,17,224,-3.212647498845073e-05,343,-3.1651699496010574e-08
0.024244620170823284,0.20309176209047358,0.007677275535381023,2,20,204,-3.081855007055428e-05,326,-3.285559709014315e-08
0.024244620170823284,0.24244620170823283,0.006944007900394746,2,24,185,-2.946833621549125e-05,311,-3.402810186546333e-08
0.024244620170823284,0.28942661247167517,0.006245014102237581,2,29,166,-2.8014425919365396e-05,297,-3.523827159668603e-08
0.024244620170823284,0.345510729459222,0.005588042345617041,2,35,149,-2.656418544028364e-05,286,-3.624036212862707e-08
0.024244620170823284,0.41246263829013524,0.004978717093614524,2,41,132,-2.510528633078026e-05,275,-3.741473372694525e-08
0.024244620170823284,0.49238826317067413,0.004420508245540103,2,49,118,-2.36306350155222e-05,269,-3.7930393283342214e-08
0.024244620170823284,0.5878016072274915,0.003914874540617699,2,59,104,-2.1996426837997165e-05,265,-3.8122056911606875e-08
0.024244620170823284,0.701703828670383,0.0034615314496742175,2,70,92,-2.0422376324078127e-05,264,-3.781921541495949e-08
0.024244620170823284,0.837677640068292,0.003058788827676967,2,84,81,-1.8720987757719154e-05,267,-3.670781913278266e-08
0.024244620170823284,1.0,0.002703908953440204,2,100,72,-1.7069610032174425e-05,274,-3.4835938841172295e-08
0.024244620170823284,1.1937766417144369,0.002393447039368337,2,119,64,-1.5384926100985982e-05,285,-3.2253513838545034e-08
0.024244620170823284,1.4251026703029992,0.0021235496982174853,2,143,56,-1.3551488461288884e-05,301,-2.8894431687183122e-08
0.024244620170823284,1.7012542798525891,0.0018901991685182137,2,170,50,-1.1855729380059858e-05,322,-2.5118070720465803e-08
0.024244620170823284,2.030917620904737,0.001689400693161542,2,203,45,-1.0148659143322762e-05,350,-2.0925070398603633e-08
0.024244620170823284,2.424462017082328,0.0015173168694209386,2,242,40,-8.449967095234821e-06,384,-1.676580772864052e-08
0.024244620170823284,2.8942661247167516,0.0013703563574604771,2,289,36,-6.8088932364225955e-06,427,-1.2726903245649712e-08
0.024244620170823284,3.4551072945922217,0.0012452257145937364,2,346,33,-5.381652672867403e-06,481,-9.2787115049438e-09
0.024244620170823284,4.1246263829013525,0.00113895304059986,2,412,30,-4.072472363339145e-06,544,-6.423457986339346e-09
0.024244620170823284,4.923882631706742,0.001048891200219703,2,492,28,-2.830771459393368e-06,622,-4.009591302256895e-09
