beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.024244620170823284,0.20309176209047358,0.0052467936428893525,5,41,207,-3.5066274984267025e-05,453,-5.2472429197742e-08
0.024244620170823284,0.24244620170823283,0.004838724385429219,5,48,191,-3.390843029175551e-05,444,-5.276426971828008e-08
0.024244620170823284,0.28942661247167517,0.004431834604065345,5,58,175,-3.259544893491698e-05,438,-5.2573304733737064e-08
0.024244620170823284,0.345510729459222,0.004032392213512567,5,69,159,-3.120970821918778e-05,433,-5.215874760877696e-08
0.024244620170823284,0.41246263829013524,0.0036462130176578445,5,82,144,-2.976130659720647e-05,431,-5.1245448373177336e-08
0.024244620170823284,0.49238826317067413,0.0032783383443696535,5,98,129,-2.8152166857248007e-05,432,-4.972475423422355e-08
0.024244620170823284,0.5878016072274915,0.002932805336448333,5,118,115,-2.6400380451517148e-05,438,-4.7346449877182834e-08
0.024244620170823284,0.701703828670383,0.0026125273140055025,5,140,103,-2.4683189800567333e-05,448,-4.44646018889021e-08
0.024244620170823284,0.837677640068292,0.0023192823731622834,5,168,91,-2.273539137107513e-05,464,-4.069775055684364e-08
0.024244620170823284,1.0,0.0020537928290692863,5,200,81,-2.0808108493817057e-05,486,-3.6490089249819473e-08
0.024244620170823284,1.1937766417144369,0.0018158689822199102,5,239,72,-1.8777070306847888e-05,516,-3.177814498180322e-08
0.024244620170823284,1.4251026703029992,0.0016045883562749556,5,285,63,-1.6663046407288165e-05,553,-2.6940190143064357e-08
0.024244620170823284,1.7012542798525891,0.0014184845874659424,5,340,56,-1.4583754420084091e-05,601,-2.2122071506710896e-08
0.024244620170823284,2.030917620904737,0.0012557262865322476,5,406,49,-1.2460419126683571e-05,660,-1.752618871200007e-08
0.024244620170823284,2.424462017082328,0.0011142732703946201,5,485,44,-1.0443524293400668e-05,734,-1.3393254710937554e-08
0.024244620170823284,2.8942661247167516,0.0009920040044254885,5,579,39,-8.470251534593395e-06,823,-9.80852695191231e-09
0.024244620170823284,3.4551072945922217,0.0008868130797406003,5,691,35,-6.6746911896194665e-06,931,-6.899618761235752e-09
0.024244620170823284,4.1246263829013525,0.0007966808618802732,5,825,31,-5.008733019829736e-06,1061,-4.581549357716271e-09
