beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.014251026703029978,2.8942661247167516,0.0003152994770669741,1,289,3,-8.285639686322573e-07,393,-2.0115658379030285e-09
0.014251026703029978,4.923882631706742,0.00018965929327297257,1,492,2,-3.4707618384491746e-07,595,-5.712247923714902e-10
0.017012542798525893,0.01,0.006407063048622607,2,1,52,-7.988524076464824e-06,155,-1.65530958898981e-08
0.017012542798525893,0.014251026703029978,0.006259231220650217,2,1,51,-7.934404111723641e-06,154,-1.6693465414945594e-08
0.017012542798525893,0.017012542798525893,0.006166799188382426,2,2,50,-7.87706518547962e-06,154,-1.6795448156672964e-08
0.017012542798525893,0.024244620170823284,0.0059371855840028905,2,2,49,-7.822945220738433e-06,153,-1.6943784320421126e-08
0.017012542798525893,0.028942661247167517,0.005796971159126105,2,3,47,-7.709755397229112e-06,152,-1.720543494137271e-08
0.017012542798525893,0.0345510729459222,0.0056380206904063776,2,3,46,-7.655635432487929e-06,151,-1.7367593993847388e-08
0.017012542798525893,0.04124626382901352,0.005459321565378165,2,4,45,-7.5949801525737345e-06,151,-1.7479816231470046e-08
0.017012542798525893,0.04923882631706739,0.005260287100384624,2,5,43,-7.478752433157356e-06,150,-1.7768478102060718e-08
0.017012542798525893,0.05878016072274912,0.005040895313617628,2,6,41,-7.3611938458404764e-06,149,-1.807314963378462e-08
0.017012542798525893,0.07017038286703829,0.004801817306771923,2,7,39,-7.242415747928315e-06,148,-1.8395772791283503e-08
0.017012542798525893,0.0837677640068292,0.00454451562432219,2,8,37,-7.122520218456016e-06,147,-1.873854306355174e-08
0.017012542798525893,0.1,0.004271291358643312,2,10,35,-6.9879838322728315e-06,147,-1.9014921992579135e-08
0.017012542798525893,0.1193776641714437,0.003985261379775969,2,12,33,-6.850006565407194e-06,147,-1.9301230108219764e-08
0.017012542798525893,0.14251026703029984,0.0036902547464361993,2,14,30,-6.655028675277901e-06,146,-1.9865757239635526e-08
0.017012542798525893,0.17012542798525893,0.003390629512843651,2,17,28,-6.493481649060356e-06,147,-2.007879297792318e-08
0.017012542798525893,0.20309176209047358,0.003091025451581479,2,20,25,-6.2737073019720794e-06,147,-2.0603308052453463e-08
0.017012542798525893,0.24244620170823283,0.0027960810290111313,2,24,23,-6.0842972081086866e-06,149,-2.070192993572197e-08
0.017012542798525893,0.28942661247167517,0.0025101505489528142,2,29,21,-5.86974829849339e-06,152,-2.0646318320412914e-08
0.017012542798525893,0.345510729459222,0.0022370573439980143,2,35,18,-5.57610099109979e-06,155,-2.0775339013039458e-08
0.017012542798525893,0.41246263829013524,0.001979911253600152,2,41,16,-5.335381112175813e-06,159,-2.0536493888282576e-08
0.017012542798525893,0.49238826317067413,0.0017410057805876762,2,49,14,-5.051981706509697e-06,165,-1.995253438589928e-08
0.017012542798525893,0.5878016072274915,0.0015217960164834016,2,59,12,-4.730894466842663e-06,173,-1.903014668882809e-08
0.017012542798525893,0.701703828670383,0.0013229463006218542,2,70,11,-4.453398340458724e-06,183,-1.7651202300668743e-08
0.017012542798525893,0.837677640068292,0.0011444289459901116,2,84,9,-4.07908085050181e-06,195,-1.6206121773944418e-08
0.017012542798525893,1.0,0.0009856527977066259,2,100,8,-3.745840671907719e-06,210,-1.438494881684992e-08
0.017012542798525893,1.1937766417144369,0.0008456020221363188,2,119,7,-3.3923985533845534e-06,228,-1.2467469876459218e-08
0.017012542798525893,1.4251026703029992,0.000722969753038484,2,143,6,-3.0039650184320663e-06,251,-1.0401540922548706e-08
0.017012542798525893,1.7012542798525891,0.0006162763997131746,2,170,5,-2.6228624568536047e-06,277,-8.501985273431458e-09
0.017012542798525893,2.030917620904737,0.0005239673031186734,2,203,4,-2.2263002442580293e-06,309,-6.661580623153888e-09
0.017012542798525893,2.424462017082328,0.0004444883056876984,2,242,4,-1.8855591950843025e-06,348,-5.052409418768228e-09
0.017012542798525893,2.8942661247167516,0.0003763404533017455,2,289,3,-1.4914137316514693e-06,394,-3.6120458504516093e-09
0.017012542798525893,3.4551072945922217,0.00031811656603794277,2,346,3,-1.1579083948189042e-06,451,-2.464159171778898e-09
0.017012542798525893,4.1246263829013525,0.0002685230459120814,2,412,2,-8.439925182537921e-07,516,-1.5966562963560198e-09
0.017012542798525893,4.923882631706742,0.00022639031821481995,2,492,2,-5.856190389604214e-07,596,-9.622396302340148e-10
0.017012542798525893,5.878016072274912,0.00019067497785434388,2,588,2,-3.3562745041259203e-07,692,-4.763375679997049e-10
0.017012542798525893,7.01703828670383,0.0001604562218422674,2,702,1,-4.5913892795647755e-08,805,-5.6592990010659136e-11
0.017012542798525893,8.376776400682925,0.00013492861923059766,2,838,1,1.7404207684411114e-07,941,
0.017012542798525893,10.0,0.0001133927738353878,2,1000,1,3.761643452656334e-07,1103,
0.020309176209047358,0.01,0.007625258287912702,2,1,62,-8.529723723876698e-06,165,-1.5352274521016377e-08
0.020309176209047358,0.014251026703029978,0.007449843348743275,2,1,61,-8.475603759135509e-06,164,-1.5457967826254803e-08
0.020309176209047358,0.017012542798525893,0.007340152387986824,2,2,60,-8.418264832891497e-06,164,-1.5531853935224164e-08
0.020309176209047358,0.020309176209047358,0.007213362524054285,2,2,59,-8.364144868150307e-06,163,-1.5642687241724905e-08
0.020309176209047358,0.024244620170823284,0.007067623471879003,2,2,58,-8.310024903409125e-06,162,-1.575658874366539e-08
0.020309176209047358,0.028942661247167517,0.006901173320993427,2,3,56,-8.196835079899798e-06,161,-1.595335749299299e-08
0.020309176209047358,0.0345510729459222,0.006712454497493826,2,3,55,-8.142715115158612e-06,160,-1.6076436555100912e-08
0.020309176209047358,0.04124626382901352,0.0065002543349594825,2,4,53,-8.027939870503234e-06,159,-1.6287157375742005e-08
0.020309176209047358,0.04923882631706739,0.006263863979959884,2,5,51,-7.911712151086853e-06,158,-1.650680607362164e-08
0.020309176209047358,0.05878016072274912,0.006003243557943172,2,6,49,-7.79415356376997e-06,157,-1.6736425947541273e-08
0.020309176209047358,0.07017038286703829,0.005719175360658015,2,7,47,-7.67537546585781e-06,156,-1.6977163162702525e-08
0.020309176209047358,0.0837677640068292,0.005413381765840518,2,8,44,-7.50135997164432e-06,154,-1.7396474887857885e-08
0.020309176209047358,0.1,0.005088582619935009,2,10,42,-7.3668235853072636e-06,154,-1.759871855066236e-08
0.020309176209047358,0.1193776641714437,0.0047484698162288475,2,12,39,-7.174726353722427e-06,153,-1.799530061129277e-08
0.020309176209047358,0.14251026703029984,0.004397585826625363,2,14,36,-6.97974846359313e-06,152,-1.842594631360383e-08
0.020309176209047358,0.17012542798525893,0.004041107333634105,2,17,33,-6.7640814726563776e-06,152,-1.879433585067068e-08
0.020309176209047358,0.20309176209047358,0.003684552120804825,2,20,30,-6.544307125568105e-06,152,-1.9191516497267168e-08
0.020309176209047358,0.24244620170823283,0.0033334427048896044,2,24,27,-6.300777066985512e-06,153,-1.9501012277887688e-08
0.020309176209047358,0.28942661247167517,0.002992969358281973,2,29,24,-6.032108192572898e-06,155,-1.969989612205388e-08
0.020309176209047358,0.345510729459222,0.0026676953019779837,2,35,22,-5.79258084987245e-06,159,-1.946431737188323e-08
0.020309176209047358,0.41246263829013524,0.0023613379051961145,2,41,19,-5.497741006255311e-06,162,-1.9516297501793792e-08
0.020309176209047358,0.49238826317067413,0.0020766445157594524,2,49,17,-5.214341600589189e-06,168,-1.895434969316317e-08
0.020309176209047358,0.5878016072274915,0.0018153645178341578,2,59,15,-4.893254071200934e-06,176,-1.808966384917166e-08
0.020309176209047358,0.701703828670383,0.0015783047071932974,2,70,13,-4.561638219920755e-06,185,-1.7091188534734938e-08
0.020309176209047358,0.837677640068292,0.0013654458826247886,2,84,11,-4.187320845508458e-06,197,-1.5724073772093344e-08
0.020309176209047358,1.0,0.0011760953926090315,2,100,10,-3.8540805658342646e-06,212,-1.4014838421215507e-08
0.020309176209047358,1.1937766417144369,0.0010090522429531208,2,119,8,-3.44651850547315e-06,229,-1.2335427721807983e-08
0.020309176209047358,1.4251026703029992,0.0008627663645044353,2,143,7,-3.0580849581630812e-06,252,-1.0327878953607163e-08
0.020309176209047358,1.7012542798525891,0.0007354797967056311,2,170,6,-2.676982761316586e-06,278,-8.476829516518639e-09
0.020309176209047358,2.030917620904737,0.0006253433666994944,2,203,5,-2.280420561853603e-06,310,-6.677659039102791e-09
0.020309176209047358,2.8942661247167516,0.00044918566932753334,2,289,4,-1.5455365805334518e-06,395,-3.6780975262576197e-09
0.020309176209047358,4.1246263829013525,0.0003205154164078444,2,412,3,-8.981073609326218e-07,517,-1.675886099892931e-09
0.020309176209047358,7.01703828670383,0.00019153420501780887,2,702,2,-1.000043893110289e-07,806,-1.2216514697169424e-10
0.024244620170823284,0.01,0.009069809680665349,2,1,74,-9.17916330077095e-06,177,-1.4271087221347871e-08
0.024244620170823284,0.011937766417144363,0.008973841784353365,2,1,73,-9.125043336029755e-06,176,-1.4349808674366654e-08
0.024244620170823284,0.017012542798525893,0.008731877687375987,2,2,71,-9.013584445044567e-06,175,-1.4484307319692379e-08
0.024244620170823284,0.020309176209047358,0.008581565978313029,2,2,70,-8.959464480303368e-06,174,-1.4568234927322549e-08
0.024244620170823284,0.024244620170823284,0.008408767236094928,2,2,69,-8.905344515562173e-06,173,-1.4654178896761844e-08
0.024244620170823284,0.028942661247167517,0.008211382577452811,2,3,67,-8.792154692052856e-06,172,-1.4799115792043187e-08
0.024244620170823284,0.0345510729459222,0.007987552789965015,2,3,65,-8.68391476257048e-06,170,-1.4985185095031026e-08
0.024244620170823284,0.04124626382901352,0.007735824918016491,2,4,63,-8.569139517915101e-06,169,-1.514249782278689e-08
0.024244620170823284,0.04923882631706739,0.007455340883623326,2,5,61,-8.45291179849872e-06,168,-1.5304928116057795e-08
0.024244620170823284,0.05878016072274912,0.007146033943087739,2,6,58,-8.281233246440661e-06,166,-1.5583803625217656e-08
0.024244620170823284,0.07017038286703829,0.006808811442952542,2,7,56,-8.162455148528495e-06,165,-1.5763721800943405e-08
0.024244620170823284,0.0837677640068292,0.006445696280547706,2,8,53,-7.988439654315003e-06,163,-1.6076553943077085e-08
0.024244620170823284,0.1,0.0060598970145832156,2,10,50,-7.799783303060904e-06,162,-1.6351746966584704e-08
0.024244620170823284,0.1193776641714437,0.0056557799930970825,2,12,46,-7.553566106756861e-06,160,-1.6793166088832504e-08
0.024244620170823284,0.14251026703029984,0.005238727443416255,2,14,43,-7.358588216627564e-06,159,-1.7116976544841972e-08
0.024244620170823284,0.17012542798525893,0.004814882466566437,2,17,39,-7.088801260971611e-06,158,-1.7559577064581647e-08
0.024244620170823284,0.20309176209047358,0.004390802090917902,2,20,36,-6.869026913883334e-06,158,-1.7850901543355857e-08
0.024244620170823284,0.24244620170823283,0.003973057867505262,2,24,33,-6.625496855300733e-06,159,-1.8058045394659944e-08
0.024244620170823284,0.28942661247167517,0.0035678345945928196,2,29,29,-6.302708016038729e-06,160,-1.8391327738659847e-08
0.024244620170823284,0.345510729459222,0.003180578163119738,2,35,26,-6.009060708645114e-06,163,-1.8387578667824708e-08
0.024244620170823284,0.41246263829013524,0.002815733088067624,2,41,23,-5.7142208650279835e-06,166,-1.8379610373200335e-08
0.024244620170823284,0.49238826317067413,0.0024765923099270425,2,49,20,-5.376701494668686e-06,171,-1.8103372035921502e-08
0.024244620170823284,0.5878016072274915,0.002165261589433599,2,59,18,-5.0556139652804315e-06,179,-1.729006144076755e-08
0.024244620170823284,0.701703828670383,0.00188272345872038,2,70,15,-4.6698778416944505e-06,187,-1.658926409127691e-08
0.024244620170823284,0.837677640068292,0.0016289746062749797,2,84,13,-4.295560606495749e-06,199,-1.5292134590586508e-08
0.024244620170823284,1.0,0.0014032066668220329,2,100,11,-3.90820048547101e-06,213,-1.384413916213606e-08
0.024244620170823284,1.1937766417144369,0.0012040024991442915,2,119,10,-3.554758399399697e-06,231,-1.2091014963944547e-08
0.024244620170823284,1.4251026703029992,0.0010295259181796461,2,143,8,-3.112204916269699e-06,253,-1.0257761754349702e-08
0.024244620170823284,1.7012542798525891,0.0008776901606659494,2,170,7,-2.7310970455124407e-06,279,-8.452791846216157e-09
0.024244620170823284,2.030917620904737,0.0007462973114982008,2,203,6,-2.3345405016863844e-06,311,-6.6930633649265605e-09
0.024244620170823284,2.424462017082328,0.0006331464746264293,2,242,5,-1.939679537321432e-06,349,-5.09771231884739e-09
0.024244620170823284,3.4551072945922217,0.00045319764610945757,2,346,4,-1.212030883042088e-06,452,-2.5398803081351383e-09
0.024244620170823284,4.923882631706742,0.0003225529029627983,2,492,3,-6.397389788393885e-07,597,-1.0387059244023194e-09
0.024244620170823284,8.376776400682925,0.00019225994329030672,2,838,2,1.199554534282051e-07,942,
0.028942661247167517,0.01,0.010780607069052744,3,1,88,-1.2435945696223446e-05,192,-1.6661234855604833e-08
0.028942661247167517,0.011937766417144363,0.010667024205540736,3,1,87,-1.2381825731482287e-05,191,-1.675257168378066e-08
0.028942661247167517,0.014251026703029978,0.010534526700240302,3,1,86,-1.2327705766741077e-05,190,-1.6845730755317134e-08
0.028942661247167517,0.017012542798525893,0.010380601398822475,3,2,85,-1.2269022176600206e-05,190,-1.6911126363335913e-08
0.028942661247167517,0.020309176209047358,0.010202638061367801,3,2,84,-1.2214902211859006e-05,189,-1.7007661113699536e-08
0.028942661247167517,0.024244620170823284,0.009998019474059944,3,2,82,-1.2106662282376637e-05,187,-1.7206740026118016e-08
0.028942661247167517,0.028942661247167517,0.009764246441488118,3,3,80,-1.1991347266327408e-05,186,-1.7378764154097694e-08
0.028942661247167517,0.0345510729459222,0.009499099901371585,3,3,78,-1.1883107336845034e-05,184,-1.759417728286206e-08
0.028942661247167517,0.04124626382901352,0.00920083805905068,3,4,75,-1.171136865634468e-05,182,-1.789361139242885e-08
0.028942661247167517,0.04923882631706739,0.008868420028612448,3,5,73,-1.159163633781583e-05,181,-1.808649764053024e-08
0.028942661247167517,0.05878016072274912,0.00850173933247909,3,6,70,-1.1415844580889497e-05,179,-1.8412652549821767e-08
0.028942661247167517,0.07017038286703829,0.008101841883954077,3,7,66,-1.1184153058755784e-05,176,-1.8898535077316297e-08
